Adelaide,34.95 S,138.52 E,2,highest,32.5,31.8,29.7,25.0,20.6,19.9,17.1,19.1,21.3,25.4,29.8,30.3
Adelaide,34.95 S,138.52 E,2,lowest,14.3,15.0,12.5,9.5,5.6,4.1,3.7,4.1,5.2,8.1,10.8,11.1
Alice Springs,23.80 S,133.89 E,546,highest,40.0,39.1,36.9,33.5,27.2,23.6,22.9,28.1,33.3,35.4,37.1,38.4
Alice Springs,23.80 S,133.89 E,546,lowest,20.7,20.0,17.4,13.1,8.8,5.7,5.1,7.1,12.6,16.2,20.1,21.9
Brisbane,27.48 S,153.04 E,8,highest,31.5,32.5,30.8,28.8,27.0,23.3,23.0,25.5,27.6,28.8,30.2,32.1
Brisbane,27.48 S,153.04 E,8,lowest,18.7,18.4,17.3,16.1,13.3,10.4,10.6,11.6,14.2,14.8,16.6,17.2
Broome,17.95 S,122.24 E,7,highest,35.5,35.9,36.1,37.0,34.3,32.0,31.3,32.1,34.6,35.4,35.5,36.3
Broome,17.95 S,122.24 E,7,lowest,20.6,20.9,21.5,20.5,17.6,16.5,15.8,17.8,19.2,18.9,11.2,12.1
Cairns,16.95 S,145.75 E,4,highest,33.5,33.8,32.8,30.3,29.2,27.5,26.7,27.4,29.3,30.4,32.4,33.1
Cairns,16.95 S,145.75 E,4,lowest,21.7,20.4,20.2,19.4,17.8,15.8,15.6,16.4,18.6,18.8,11.0,10.8
Canberra,35.31 S,149.20 E,577,highest,32.8,30.1,27.7,23.9,17.6,13.9,13.4,16.0,21.0,24.8,29.4,29.3
Canberra,35.31 S,149.20 E,577,lowest,12.4,10.0,8.1,6.4,3.6,-1.9,-2.5,3.3,8.8,12.5,16.5,20.6
Darwin,12.47 S,130.85 E,0,highest,32.2,32.7,33.0,33.9,32.4,31.8,29.9,30.5,32.1,33.0,33.2,33.2
Darwin,12.47 S,130.85 E,0,lowest,20.8,20.5,21.4,17.5,15.2,10.8,15.4,17.9,19.2,22.4,22.2,21.4
Hobart,42.89 S,147.33 E,51,highest,25.0,25.2,22.9,20.4,17.3,14.1,13.9,15.7,17.9,19.7,21.5,24.0
Hobart,42.89 S,147.33 E,51,lowest,9.1,8.7,7.7,5.0,2.0,-0.4,0.2,2.3,8.0,13.6,15.3,17.4
Melbourne,-37.81 S,144.96 E,8,highest,27.3,27.1,26.9,22.4,19.0,15.4,15.7,16.3,19.5,24.3,22.7,27.5
Melbourne,-37.81 S,144.96 E,8,lowest,13.9,10.1,7.7,2.2,1.1,-1.2,-2.3,1.8,5.7,11.1,13.8,15.7
Perth,31.95 S,115.86 E,15,highest,35.6,36.3,32.8,29.0,24.4,21.0,19.7,21.5,22.8,27.0,30.3,32.4
Perth,31.95 S,115.86 E,15,lowest,15.2,18.7,12.1,9.2,7.4,5.8,8.2,11.3,15.1,19.7,22.1,24.7
Sydney,-33.86 S,151.21 E,39,highest,26.0,25.8,24.8,22.5,19.5,17.0,16.4,17.9,20.1,22.2,23.7,25.2
Sydney,-33.86 S,151.21 E,39,lowest,14.7,12.8,6.6,3.7,2.6,-3.3,-3.1,2.0,11.1,13.6,15.7,17.5
